,Entity,Code,Year,Num_of_executions (Amnesty Int),Meningitis,Lower_resp_infections,Intestinal_infections,Protein_energy_malnutrition,Terrorism,Cardiovascular,Alzheimer & dementias,Chronic_kidney,Chronic_resp,Cirrhosis & chronic_liver,Digestive,Hepatitis,Neoplasms,Parkinson,Fire_heat_&_hot_substances,Malaria,Drowning,Interpersonal_violence,HIV/AIDS,Drug use,Tuberculosis,Road_injuries,Maternal_disorders,Neonatal_disorders,Alcohol_use,Exposure_to_forces,Diarrheal,Environmental_heat & cold_expo,Nutritional_deficiencies,Self-harm,Conflict & terrorism,Diabetes mellitus,Poisonings,Total
6556,World,OWID_WRL,2000,,422671.0,2976685.0,199954.0,485909.0,4403.0,13698712.0,1382558.0,777533.0,3588978.0,1050682.0,1921460.0,148877.0,6906581.0,197892.0,143433.0,851797.0,456990.0,444119.0,1534878.0,102559.0,1615143.0,1282553.0,307345.0,2658269.0,169033.0,8052.0,2132157.0,67334.0,534575.0,832891.0,122799.0,851460.0,80053.0,47958336.0
6557,World,OWID_WRL,2001,,414349.0,2914162.0,197097.0,469915.0,7729.0,13870332.0,1424449.0,794782.0,3562842.0,1064714.0,1940058.0,148691.0,7004422.0,204712.0,141777.0,885068.0,439355.0,439122.0,1647050.0,99165.0,1590690.0,1276394.0,297521.0,2615509.0,173709.0,29284.0,2080394.0,68398.0,516800.0,806619.0,62437.0,877082.0,80290.0,48144919.0
6558,World,OWID_WRL,2002,,400216.0,2861260.0,194100.0,454062.0,4805.0,14150328.0,1472213.0,816351.0,3550458.0,1079888.0,1961517.0,147219.0,7133298.0,212609.0,140121.0,911240.0,417528.0,446675.0,1752835.0,97773.0,1563440.0,1276379.0,287567.0,2573134.0,179430.0,8563.0,2030304.0,70462.0,499175.0,794114.0,66650.0,908639.0,80408.0,48542762.0
6559,World,OWID_WRL,2003,,391814.0,2818024.0,191065.0,360359.0,3317.0,14396609.0,1520603.0,838403.0,3532600.0,1096100.0,1983984.0,145334.0,7266636.0,220546.0,139501.0,934058.0,397139.0,430601.0,1844994.0,96391.0,1526150.0,1269860.0,276374.0,2541122.0,184026.0,35401.0,1983871.0,76269.0,404097.0,795232.0,57618.0,938810.0,80357.0,48777262.0
6560,World,OWID_WRL,2004,,383200.0,2766653.0,187965.0,346805.0,5743.0,14404858.0,1557596.0,851300.0,3457417.0,1107584.0,1998200.0,145059.0,7336655.0,225252.0,136694.0,934553.0,388833.0,424951.0,1910178.0,97104.0,1478036.0,1274468.0,269523.0,2497266.0,185852.0,238031.0,1946120.0,67486.0,389315.0,797239.0,58550.0,955390.0,80734.0,48904611.0
6561,World,OWID_WRL,2005,,374579.0,2735777.0,185318.0,334398.0,6331.0,14607809.0,1611704.0,876694.0,3415929.0,1126181.0,2025281.0,146902.0,7441081.0,232510.0,136244.0,927117.0,381167.0,419246.0,1948779.0,101621.0,1454475.0,1284407.0,266569.0,2453547.0,190844.0,86993.0,1919760.0,69435.0,376381.0,805645.0,40340.0,983173.0,81139.0,49047376.0
6562,World,OWID_WRL,2006,,369098.0,2700151.0,182309.0,323733.0,9380.0,14551013.0,1660258.0,895590.0,3375285.0,1138280.0,2042344.0,142575.0,7492487.0,238285.0,132821.0,909906.0,365642.0,412236.0,1953141.0,102463.0,1419890.0,1278965.0,260701.0,2403808.0,183933.0,16796.0,1905244.0,64865.0,365216.0,791825.0,58179.0,997947.0,78872.0,48823235.0
6563,World,OWID_WRL,2007,,360585.0,2673540.0,179417.0,313454.0,12824.0,14687671.0,1719635.0,919878.0,3380896.0,1150090.0,2061954.0,140153.0,7617957.0,246217.0,131028.0,895536.0,356387.0,403383.0,1919733.0,104029.0,1390564.0,1284048.0,254824.0,2351576.0,180031.0,15500.0,1882353.0,61451.0,354626.0,785136.0,59497.0,1016711.0,77620.0,48988304.0
6564,World,OWID_WRL,2008,,348040.0,2657275.0,176583.0,304322.0,9157.0,15008284.0,1790400.0,952855.0,3419369.0,1167264.0,2089798.0,139418.0,7790648.0,256202.0,129844.0,874094.0,351865.0,406817.0,1846162.0,107633.0,1369508.0,1295451.0,249889.0,2304429.0,179987.0,235497.0,1867836.0,60385.0,345703.0,789447.0,58795.0,1045381.0,78008.0,49706345.0
6565,World,OWID_WRL,2009,,340514.0,2639562.0,173746.0,297264.0,9273.0,15274314.0,1863444.0,986668.0,3469693.0,1180248.0,2111720.0,137790.0,7957789.0,266002.0,128565.0,831489.0,345936.0,407415.0,1762778.0,110268.0,1344137.0,1299797.0,246341.0,2258315.0,175053.0,9254.0,1865671.0,59024.0,338691.0,791223.0,67916.0,1070186.0,77339.0,49897424.0
6566,World,OWID_WRL,2010,,331206.0,2623649.0,170071.0,299956.0,7827.0,15619617.0,1943961.0,1019565.0,3522114.0,1193974.0,2135810.0,137076.0,8131219.0,275884.0,127877.0,788445.0,340728.0,409123.0,1653324.0,114269.0,1317585.0,1299939.0,242374.0,2211208.0,174237.0,248455.0,1857640.0,115383.0,341835.0,796084.0,50608.0,1096402.0,77299.0,50674742.0
6567,World,OWID_WRL,2011,,325000.0,2616651.0,168717.0,288907.0,8246.0,15859735.0,2025064.0,1052780.0,3550905.0,1205276.0,2158948.0,136181.0,8294165.0,285105.0,126282.0,755546.0,334094.0,405563.0,1535582.0,117771.0,1293093.0,1294561.0,234088.0,2162070.0,170737.0,31964.0,1793641.0,57402.0,329818.0,793978.0,100569.0,1129959.0,76228.0,50718627.0
6568,World,OWID_WRL,2012,,316965.0,2605154.0,166735.0,269574.0,15497.0,16115489.0,2098871.0,1082857.0,3555093.0,1217578.0,2181850.0,134720.0,8460522.0,293549.0,124807.0,725678.0,328374.0,407886.0,1416899.0,122103.0,1265602.0,1288487.0,221424.0,2110626.0,169930.0,6626.0,1725018.0,57658.0,309651.0,786336.0,111433.0,1168569.0,75415.0,50936974.0
6569,World,OWID_WRL,2013,,312014.0,2590482.0,164572.0,259203.0,22273.0,16284022.0,2168918.0,1112929.0,3570845.0,1228824.0,2205206.0,131795.0,8617752.0,300878.0,123173.0,710116.0,320295.0,402497.0,1300347.0,129360.0,1243290.0,1268582.0,212656.0,2050610.0,170965.0,19050.0,1664193.0,55824.0,298366.0,779213.0,115138.0,1202743.0,74907.0,51111040.0
6570,World,OWID_WRL,2014,,306484.0,2579538.0,162420.0,250312.0,44490.0,16628359.0,2253866.0,1147229.0,3638294.0,1247593.0,2242741.0,129255.0,8861703.0,310499.0,121854.0,695008.0,312887.0,397393.0,1202193.0,137889.0,1225655.0,1263052.0,206311.0,1989193.0,173685.0,6503.0,1619718.0,55073.0,289185.0,781717.0,182240.0,1249135.0,74440.0,51785915.0
6571,World,OWID_WRL,2015,,298712.0,2582199.0,159258.0,243751.0,38853.0,17139990.0,2353634.0,1185372.0,3739118.0,1272034.0,2288953.0,127011.0,9164466.0,322527.0,121676.0,662166.0,307845.0,399741.0,1121362.0,147614.0,1211338.0,1254514.0,199531.0,1925458.0,178372.0,14748.0,1578439.0,57740.0,282498.0,782941.0,137629.0,1299556.0,74395.0,52673441.0
6572,World,OWID_WRL,2016,,295879.0,2574625.0,155449.0,236430.0,34871.0,17524370.0,2440042.0,1216963.0,3826620.0,1298395.0,2335480.0,126754.0,9403124.0,332506.0,121392.0,625834.0,303335.0,394941.0,1041798.0,159691.0,1200508.0,1252392.0,196171.0,1852924.0,181679.0,7261.0,1550848.0,54183.0,274881.0,788675.0,158356.0,1346428.0,73643.0,53386448.0
6573,World,OWID_WRL,2017,,288021.0,2558606.0,,231771.0,26445.0,17790949.0,2514619.0,1230168.0,3914196.0,1322868.0,2377685.0,126391.0,9556245.0,340639.0,120632.0,619827.0,295210.0,405346.0,954492.0,166613.0,1183672.0,1243068.0,193639.0,1783770.0,184934.0,9603.0,1569556.0,53350.0,269997.0,793823.0,129720.0,1369849.0,72371.0,53698074.0
