,Year,Entity,Num_of_executions (Amnesty Int),Fire_heat_&_hot_substances,Drowning,Road_injuries,Exposure_to_forces,Interpersonal_violence,Environmental_heat & cold_expo,Self-harm
335,1990,Australia,,175.94121656028705,299.53916523306765,2689.250030784713,15.999999995166524,358.3413532008108,44.95353704097353,2351.524265910761
3678,1990,Malta,,2.470611426092089,4.658430703379275,27.11841796539137,0.0,5.409350921117961,1.3711586440119734,19.44722120134277
4015,1990,Mozambique,,1048.6067139182117,1495.5473393600682,3390.1913687639794,0.0,835.0464939803247,41.354690539777614,1266.1349781366
1531,1990,Cuba,,306.14510456247115,529.4744712478921,2413.1296007540905,3.999999996568649,878.1558463785292,37.89572466236255,2244.135581168061
2524,1990,Guyana,,27.350686538687224,62.05858331806062,128.5420356077004,0.0,90.21568299937566,11.846561128950578,139.27815057272016
5728,1990,Sweden,,178.99585826409952,141.71291218813954,936.477816064858,1.000000048435927,142.52733206952254,75.0781551980508,1879.7944736811917
451,1990,Bahrain,,4.550162211377418,9.50873757341354,97.1148614144336,0.0,7.898014356343442,1.3755020990440878,26.072016785577777
1963,1990,Equatorial Guinea,,29.09608366039891,85.83953129942503,264.44246892698106,0.0,30.2702436102932,4.928621722246927,45.472302243979165
5109,1990,Serbia,,137.98359503144712,264.4616813451957,1427.4985583573998,0.0,463.0891809179947,78.07780788633634,2044.6584768885025
2552,1990,Haiti,,552.7410404729143,1382.0945165303349,4178.700225970219,0.0,1490.7281492888967,95.19890983616028,532.67634509684
4436,1990,Norway,,109.86256961726056,93.5251080847372,441.5447425102397,4.999999690176868,61.820170578083456,48.86244663602997,720.8231361809868
5476,1990,Southeast Asia,,7454.171185605711,53490.93242135461,121693.54034499936,3831.083618583929,20969.22944113748,567.8414774926624,36476.3387985506
6402,1990,Venezuela,,241.46223458306164,1117.3671431054554,5280.134826782932,0.0,2900.064224295648,17.970721261778657,1195.181562011705
3338,1990,Lesotho,,96.73896696880054,86.78837134721796,554.1454642661693,22.000000668866782,389.46820649095486,19.52875113144796,304.2844344138852
4632,1990,Paraguay,,58.5169188624369,133.12590408626895,583.3771752009159,0.0,357.0234674854345,6.794670581309909,125.4685011997462
2580,1990,High SDI,,18988.49405152101,23773.374959236287,176220.30102934825,891.2629721411082,37491.3673859977,6656.718960588725,146486.33895328353
1195,1990,"Central Europe, Eastern Europe, and Central Asia",,16812.08290229359,36095.76768240226,95238.3598906484,139.812527917265,43961.33560981442,21213.70882797912,93800.88354599764
5616,1990,Sri Lanka,,498.3012530714705,1249.109565039559,2063.540824594756,32.99999981940587,1223.6962792403149,61.89861639743575,6120.275176368888
419,1990,Bahamas,,11.14726720617519,22.519912460491437,51.70089098267602,0.0,45.8815133477341,1.888327599481636,7.563425885872094
