,Year,variable,value
74,2008,Intestinal_infections,727992.0
75,2009,Intestinal_infections,716866.0
76,2010,Intestinal_infections,702299.0
77,2011,Intestinal_infections,696969.0
78,2012,Intestinal_infections,689561.0
79,2013,Intestinal_infections,681116.0
80,2014,Intestinal_infections,672597.0
81,2015,Intestinal_infections,660028.0
82,2016,Intestinal_infections,644638.0
83,2017,Intestinal_infections,0.0
84,1990,Protein_energy_malnutrition,2389406.0
85,1991,Protein_energy_malnutrition,2362549.0
86,1992,Protein_energy_malnutrition,2323065.0
87,1993,Protein_energy_malnutrition,2282316.0
88,1994,Protein_energy_malnutrition,2253640.0
89,1995,Protein_energy_malnutrition,2598487.0
90,1996,Protein_energy_malnutrition,2522626.0
91,1997,Protein_energy_malnutrition,2465489.0
92,1998,Protein_energy_malnutrition,2406871.0
93,1999,Protein_energy_malnutrition,2355162.0
94,2000,Protein_energy_malnutrition,2315002.0
95,2001,Protein_energy_malnutrition,2241177.0
96,2002,Protein_energy_malnutrition,2168444.0
97,2003,Protein_energy_malnutrition,1709053.0
98,2004,Protein_energy_malnutrition,1646525.0
99,2005,Protein_energy_malnutrition,1589941.0
100,2006,Protein_energy_malnutrition,1541397.0
101,2007,Protein_energy_malnutrition,1493884.0
102,2008,Protein_energy_malnutrition,1451380.0
103,2009,Protein_energy_malnutrition,1419669.0
104,2010,Protein_energy_malnutrition,1436097.0
105,2011,Protein_energy_malnutrition,1385052.0
106,2012,Protein_energy_malnutrition,1291887.0
107,2013,Protein_energy_malnutrition,1244512.0
108,2014,Protein_energy_malnutrition,1204701.0
109,2015,Protein_energy_malnutrition,1175408.0
110,2016,Protein_energy_malnutrition,1142581.0
111,2017,Protein_energy_malnutrition,1121801.0
112,1990,Terrorism,21444.0
113,1991,Terrorism,25287.0
114,1992,Terrorism,29226.0
115,1993,Terrorism,0.0
116,1994,Terrorism,23070.0
117,1995,Terrorism,18309.0
118,1996,Terrorism,20898.0
119,1997,Terrorism,32772.0
120,1998,Terrorism,14064.0
121,1999,Terrorism,10179.0
122,2000,Terrorism,13209.0
123,2001,Terrorism,23187.0
124,2002,Terrorism,14415.0
125,2003,Terrorism,9951.0
126,2004,Terrorism,17229.0
127,2005,Terrorism,18993.0
128,2006,Terrorism,28140.0
129,2007,Terrorism,38472.0
130,2008,Terrorism,27471.0
131,2009,Terrorism,27819.0
132,2010,Terrorism,23481.0
133,2011,Terrorism,24738.0
134,2012,Terrorism,46491.0
135,2013,Terrorism,66819.0
136,2014,Terrorism,133470.0
137,2015,Terrorism,116559.0
138,2016,Terrorism,104613.0
139,2017,Terrorism,79335.0
140,1990,Cardiovascular,57609997.0
141,1991,Cardiovascular,58434167.0
142,1992,Cardiovascular,59463394.0
143,1993,Cardiovascular,61239750.0
144,1994,Cardiovascular,62335630.0
145,1995,Cardiovascular,62855986.0
146,1996,Cardiovascular,63009761.0
147,1997,Cardiovascular,63338390.0
148,1998,Cardiovascular,63804340.0
149,1999,Cardiovascular,64875595.0
150,2000,Cardiovascular,65815754.0
151,2001,Cardiovascular,66599518.0
152,2002,Cardiovascular,67937292.0
153,2003,Cardiovascular,69115058.0
154,2004,Cardiovascular,69137768.0
155,2005,Cardiovascular,70045338.0
156,2006,Cardiovascular,69639725.0
157,2007,Cardiovascular,70196786.0
158,2008,Cardiovascular,71661678.0
159,2009,Cardiovascular,72848803.0
160,2010,Cardiovascular,74425737.0
161,2011,Cardiovascular,75492848.0
162,2012,Cardiovascular,76652389.0
163,2013,Cardiovascular,77397897.0
164,2014,Cardiovascular,79001594.0
165,2015,Cardiovascular,81441313.0
166,2016,Cardiovascular,83221470.0
167,2017,Cardiovascular,84454689.0
168,1990,Alzheimer & dementias,5023309.0
169,1991,Alzheimer & dementias,5208248.0
170,1992,Alzheimer & dementias,5379306.0
171,1993,Alzheimer & dementias,5576329.0
172,1994,Alzheimer & dementias,5745968.0
173,1995,Alzheimer & dementias,5920162.0
174,1996,Alzheimer & dementias,6076580.0
175,1997,Alzheimer & dementias,6235347.0
176,1998,Alzheimer & dementias,6413549.0
177,1999,Alzheimer & dementias,6608618.0
178,2000,Alzheimer & dementias,6793230.0
179,2001,Alzheimer & dementias,6997826.0
180,2002,Alzheimer & dementias,7231588.0
181,2003,Alzheimer & dementias,7467930.0
182,2004,Alzheimer & dementias,7647034.0
183,2005,Alzheimer & dementias,7909689.0
184,2006,Alzheimer & dementias,8144883.0
185,2007,Alzheimer & dementias,8433962.0
186,2008,Alzheimer & dementias,8778200.0
187,2009,Alzheimer & dementias,9130467.0
188,2010,Alzheimer & dementias,9520266.0
189,2011,Alzheimer & dementias,9916063.0
190,2012,Alzheimer & dementias,10277577.0
191,2013,Alzheimer & dementias,10618294.0
192,2014,Alzheimer & dementias,11027668.0
193,2015,Alzheimer & dementias,11512649.0
194,2016,Alzheimer & dementias,11929862.0
195,2017,Alzheimer & dementias,12288558.0
196,1990,Chronic_kidney,2891298.0
197,1991,Chronic_kidney,2945019.0
198,1992,Chronic_kidney,3020244.0
199,1993,Chronic_kidney,3089101.0
200,1994,Chronic_kidney,3152976.0
201,1995,Chronic_kidney,3220822.0
202,1996,Chronic_kidney,3288849.0
203,1997,Chronic_kidney,3380261.0
204,1998,Chronic_kidney,3474142.0
205,1999,Chronic_kidney,3566427.0
206,2000,Chronic_kidney,3660377.0
207,2001,Chronic_kidney,3741485.0
208,2002,Chronic_kidney,3845088.0
209,2003,Chronic_kidney,3951912.0
210,2004,Chronic_kidney,4016153.0
211,2005,Chronic_kidney,4134347.0
212,2006,Chronic_kidney,4221381.0
213,2007,Chronic_kidney,4335200.0
214,2008,Chronic_kidney,4490136.0
215,2009,Chronic_kidney,4650924.0
216,2010,Chronic_kidney,4806049.0
217,2011,Chronic_kidney,4961935.0
218,2012,Chronic_kidney,5103953.0
219,2013,Chronic_kidney,5244189.0
220,2014,Chronic_kidney,5405347.0
221,2015,Chronic_kidney,5586455.0
222,2016,Chronic_kidney,5732913.0
223,2017,Chronic_kidney,5792928.0
224,1990,Chronic_resp,15488441.0
225,1991,Chronic_resp,15780013.0
226,1992,Chronic_resp,16057518.0
227,1993,Chronic_resp,16292842.0
228,1994,Chronic_resp,16468491.0
229,1995,Chronic_resp,16565478.0
230,1996,Chronic_resp,16669207.0
231,1997,Chronic_resp,16860137.0
232,1998,Chronic_resp,16976090.0
233,1999,Chronic_resp,16821995.0
234,2000,Chronic_resp,16727801.0
235,2001,Chronic_resp,16600004.0
236,2002,Chronic_resp,16555026.0
237,2003,Chronic_resp,16490593.0
238,2004,Chronic_resp,16158493.0
239,2005,Chronic_resp,15952331.0
240,2006,Chronic_resp,15716540.0
241,2007,Chronic_resp,15711451.0
242,2008,Chronic_resp,15870399.0
243,2009,Chronic_resp,16085495.0
244,2010,Chronic_resp,16310305.0
245,2011,Chronic_resp,16427443.0
246,2012,Chronic_resp,16434422.0
247,2013,Chronic_resp,16478292.0
248,2014,Chronic_resp,16769576.0
249,2015,Chronic_resp,17229407.0
250,2016,Chronic_resp,17618129.0
251,2017,Chronic_resp,18019275.0
252,1990,Cirrhosis & chronic_liver,4284911.0
253,1991,Cirrhosis & chronic_liver,4384799.0
254,1992,Cirrhosis & chronic_liver,4480509.0
255,1993,Cirrhosis & chronic_liver,4576891.0
256,1994,Cirrhosis & chronic_liver,4662181.0
257,1995,Cirrhosis & chronic_liver,4742929.0
258,1996,Cirrhosis & chronic_liver,4791909.0
259,1997,Cirrhosis & chronic_liver,4844730.0
260,1998,Cirrhosis & chronic_liver,4886575.0
261,1999,Cirrhosis & chronic_liver,4939495.0
262,2000,Cirrhosis & chronic_liver,4998867.0
263,2001,Cirrhosis & chronic_liver,5063378.0
264,2002,Cirrhosis & chronic_liver,5135351.0
265,2003,Cirrhosis & chronic_liver,5212136.0
266,2004,Cirrhosis & chronic_liver,5267504.0
267,2005,Cirrhosis & chronic_liver,5355190.0
268,2006,Cirrhosis & chronic_liver,5409069.0
269,2007,Cirrhosis & chronic_liver,5462170.0
270,2008,Cirrhosis & chronic_liver,5539773.0
271,2009,Cirrhosis & chronic_liver,5596291.0
272,2010,Cirrhosis & chronic_liver,5656558.0
273,2011,Cirrhosis & chronic_liver,5705182.0
274,2012,Cirrhosis & chronic_liver,5760176.0
275,2013,Cirrhosis & chronic_liver,5811054.0
276,2014,Cirrhosis & chronic_liver,5897096.0
277,2015,Cirrhosis & chronic_liver,6011793.0
278,2016,Cirrhosis & chronic_liver,6131260.0
279,2017,Cirrhosis & chronic_liver,6243636.0
280,1990,Digestive,8144600.0
281,1991,Digestive,8296169.0
282,1992,Digestive,8439705.0
283,1993,Digestive,8567845.0
284,1994,Digestive,8673168.0
285,1995,Digestive,8770053.0
286,1996,Digestive,8823728.0
287,1997,Digestive,8898939.0
288,1998,Digestive,8963770.0
289,1999,Digestive,9039479.0
290,2000,Digestive,9119334.0
291,2001,Digestive,9206433.0
292,2002,Digestive,9310159.0
293,2003,Digestive,9419010.0
294,2004,Digestive,9489068.0
295,2005,Digestive,9616037.0
296,2006,Digestive,9694503.0
297,2007,Digestive,9783843.0
298,2008,Digestive,9910691.0
299,2009,Digestive,10009254.0
300,2010,Digestive,10118380.0
301,2011,Digestive,10225216.0
302,2012,Digestive,10335488.0
303,2013,Digestive,10445699.0
304,2014,Digestive,10620576.0
305,2015,Digestive,10840260.0
306,2016,Digestive,11054920.0
307,2017,Digestive,11250096.0
308,1990,Hepatitis,649280.0
309,1991,Hepatitis,655923.0
310,1992,Hepatitis,660409.0
311,1993,Hepatitis,662967.0
312,1994,Hepatitis,661303.0
313,1995,Hepatitis,661210.0
314,1996,Hepatitis,656634.0
315,1997,Hepatitis,659745.0
316,1998,Hepatitis,660302.0
317,1999,Hepatitis,658886.0
318,2000,Hepatitis,657765.0
319,2001,Hepatitis,655828.0
320,2002,Hepatitis,648471.0
321,2003,Hepatitis,638899.0
322,2004,Hepatitis,635833.0
323,2005,Hepatitis,640855.0
324,2006,Hepatitis,621025.0
325,2007,Hepatitis,609266.0
326,2008,Hepatitis,604262.0
327,2009,Hepatitis,596213.0
328,2010,Hepatitis,592101.0
329,2011,Hepatitis,587577.0
330,2012,Hepatitis,581327.0
331,2013,Hepatitis,569257.0
332,2014,Hepatitis,559211.0
333,2015,Hepatitis,550588.0
334,2016,Hepatitis,550002.0
335,2017,Hepatitis,548896.0
336,1990,Neoplasms,28159926.0
337,1991,Neoplasms,28784012.0
338,1992,Neoplasms,29406877.0
339,1993,Neoplasms,30205421.0
340,1994,Neoplasms,30778962.0
341,1995,Neoplasms,31312994.0
342,1996,Neoplasms,31667600.0
343,1997,Neoplasms,32029966.0
344,1998,Neoplasms,32546740.0
345,1999,Neoplasms,33184101.0
346,2000,Neoplasms,33715160.0
347,2001,Neoplasms,34183223.0
348,2002,Neoplasms,34808760.0
349,2003,Neoplasms,35454763.0
350,2004,Neoplasms,35786143.0
351,2005,Neoplasms,36272091.0
352,2006,Neoplasms,36495184.0
353,2007,Neoplasms,37082395.0
354,2008,Neoplasms,37902053.0
355,2009,Neoplasms,38686650.0
356,2010,Neoplasms,39502361.0
357,2011,Neoplasms,40275918.0
358,2012,Neoplasms,41072001.0
359,2013,Neoplasms,41812093.0
360,2014,Neoplasms,42969314.0
361,2015,Neoplasms,44426366.0
