,Year,variable,value
140,1990,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1320668.5800183916
141,1991,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1360630.8154676924
142,1992,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1339851.9705247572
143,1993,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1341331.4075031572
144,1994,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1392302.849460482
145,1995,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1304178.8301315173
146,1996,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1282067.9795350835
147,1997,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1270317.696111295
148,1998,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1247279.287765779
149,1999,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1221068.0062647471
150,2000,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1187037.793160223
151,2001,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1151410.5342881875
152,2002,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1075229.2747454064
153,2003,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1013790.1680591695
154,2004,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1048991.117899805
155,2005,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),1017887.6586239748
156,2006,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),966975.6016701844
157,2007,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),936657.6166652548
158,2008,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),949579.7460784502
159,2009,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),911628.2812862664
160,2010,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),945795.9707912594
161,2011,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),889229.5474023214
162,2012,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),862999.7301001155
163,2013,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),838898.4828401721
164,2014,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),816867.2820785041
165,2015,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),775067.5269561026
166,2016,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),754468.9130594952
167,2017,Deaths - All causes - Sex: Both - Age: 5-14 years (Number),731743.3678053044
168,1990,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),6998561.158948356
169,1991,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7215875.776911156
170,1992,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7409313.340420498
171,1993,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7677472.696516561
172,1994,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8219800.586291847
173,1995,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8128532.27991188
174,1996,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8229901.69836053
175,1997,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8364786.178053417
176,1998,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8500694.081231974
177,1999,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8745663.355943875
178,2000,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8820399.506463738
179,2001,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8745273.000546947
180,2002,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8741064.356150568
181,2003,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8683792.03216845
182,2004,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8785639.427152539
183,2005,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8751136.093629185
184,2006,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8642137.724722378
185,2007,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8570431.378782596
186,2008,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8676241.563067082
187,2009,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8508622.723841084
188,2010,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8551119.092532743
189,2011,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8294948.793858715
190,2012,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),8112426.392085723
191,2013,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7949361.639317189
192,2014,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7864767.521325691
193,2015,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7733922.246971665
194,2016,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7685805.980730138
195,2017,Deaths - All causes - Sex: Both - Age: 15-49 years (Number),7614024.001961451
